sample_id,style_condition,ccer_score,gold_entity_count,error_type_profile
scenario_062_clinical_charting,clinical_charting,1.3333,15,"{""omission"": 4, ""numeric_error"": 2, ""hallucination"": 2}"
scenario_062_formal_template,formal_template,1.8,15,"{""omission"": 9, ""numeric_error"": 1, ""hallucination"": 2}"
scenario_062_telegraphic_icu,telegraphic_icu,1.3333,15,"{""omission"": 7, ""numeric_error"": 2}"
scenario_063_clinical_charting,clinical_charting,2.3333,15,"{""omission"": 6, ""hallucination"": 4, ""numeric_error"": 3, ""substitution"": 1}"
scenario_063_formal_template,formal_template,2.0667,15,"{""omission"": 10, ""hallucination"": 3, ""substitution"": 1}"
scenario_063_telegraphic_icu,telegraphic_icu,1.6,15,"{""omission"": 12}"
scenario_064_clinical_charting,clinical_charting,1.0,14,"{""omission"": 7}"
scenario_064_formal_template,formal_template,1.4286,14,"{""omission"": 10}"
scenario_064_telegraphic_icu,telegraphic_icu,1.5,14,"{""omission"": 9, ""severity_shift"": 1}"
scenario_065_clinical_charting,clinical_charting,2.1538,13,"{""hallucination"": 4, ""omission"": 8}"
scenario_065_formal_template,formal_template,1.4615,13,"{""omission"": 8, ""numeric_error"": 1}"
scenario_065_telegraphic_icu,telegraphic_icu,2.5385,13,"{""hallucination"": 4, ""omission"": 3, ""numeric_error"": 5}"
scenario_066_clinical_charting,clinical_charting,0.6429,14,"{""numeric_error"": 1, ""omission"": 3}"
scenario_066_formal_template,formal_template,1.2143,14,"{""omission"": 7, ""hallucination"": 1}"
scenario_066_telegraphic_icu,telegraphic_icu,1.0714,14,"{""omission"": 6, ""numeric_error"": 1}"
scenario_067_clinical_charting,clinical_charting,1.7857,14,"{""hallucination"": 3, ""omission"": 2, ""numeric_error"": 4}"
scenario_067_formal_template,formal_template,1.8571,14,"{""omission"": 10, ""hallucination"": 2}"
scenario_067_telegraphic_icu,telegraphic_icu,1.2857,14,"{""device_error"": 1, ""omission"": 5, ""numeric_error"": 2}"
scenario_068_clinical_charting,clinical_charting,1.0714,14,"{""omission"": 3, ""numeric_error"": 3}"
scenario_068_formal_template,formal_template,1.2857,14,"{""omission"": 9}"
scenario_068_telegraphic_icu,telegraphic_icu,1.7857,14,"{""omission"": 8, ""hallucination"": 1, ""numeric_error"": 2}"
scenario_069_clinical_charting,clinical_charting,1.4167,12,"{""omission"": 1, ""numeric_error"": 5}"
scenario_069_formal_template,formal_template,1.75,12,"{""omission"": 9, ""hallucination"": 1}"
scenario_069_telegraphic_icu,telegraphic_icu,1.8333,12,"{""omission"": 8, ""numeric_error"": 1, ""hallucination"": 1}"
scenario_070_clinical_charting,clinical_charting,2.2857,14,"{""omission"": 10, ""numeric_error"": 2, ""hallucination"": 1, ""medication_identity_error"": 1}"
scenario_070_formal_template,formal_template,1.6429,14,"{""omission"": 10, ""numeric_error"": 1}"
scenario_070_telegraphic_icu,telegraphic_icu,1.1429,14,"{""omission"": 8}"
scenario_071_clinical_charting,clinical_charting,1.7143,14,"{""hallucination"": 3, ""omission"": 5, ""unit_error"": 1, ""numeric_error"": 1}"
scenario_071_formal_template,formal_template,1.6429,14,"{""omission"": 10, ""hallucination"": 1}"
scenario_071_telegraphic_icu,telegraphic_icu,1.7857,14,"{""omission"": 10, ""unit_error"": 1, ""hallucination"": 1}"
scenario_072_clinical_charting,clinical_charting,1.6154,13,"{""hallucination"": 3, ""omission"": 3, ""numeric_error"": 2}"
scenario_072_formal_template,formal_template,1.5385,13,"{""omission"": 7, ""hallucination"": 2}"
scenario_072_telegraphic_icu,telegraphic_icu,1.6923,13,"{""hallucination"": 1, ""omission"": 5, ""numeric_error"": 3}"
scenario_073_clinical_charting,clinical_charting,1.5,14,"{""omission"": 6, ""hallucination"": 2, ""numeric_error"": 1}"
scenario_073_formal_template,formal_template,1.4286,14,"{""omission"": 10}"
scenario_073_telegraphic_icu,telegraphic_icu,1.7857,14,"{""omission"": 5, ""hallucination"": 2, ""numeric_error"": 3}"
scenario_074_clinical_charting,clinical_charting,1.1538,13,"{""hallucination"": 1, ""numeric_error"": 2, ""omission"": 3}"
scenario_074_formal_template,formal_template,1.9231,13,"{""omission"": 8, ""hallucination"": 3}"
scenario_074_telegraphic_icu,telegraphic_icu,2.0,13,"{""hallucination"": 3, ""omission"": 4, ""numeric_error"": 3}"
scenario_075_clinical_charting,clinical_charting,1.4667,15,"{""omission"": 5, ""numeric_error"": 3, ""hallucination"": 1}"
scenario_075_formal_template,formal_template,1.5333,15,"{""omission"": 10, ""hallucination"": 1}"
scenario_075_telegraphic_icu,telegraphic_icu,1.2667,15,"{""omission"": 5, ""numeric_error"": 1, ""hallucination"": 2}"
scenario_076_clinical_charting,clinical_charting,1.4,15,"{""hallucination"": 2, ""omission"": 3, ""numeric_error"": 3}"
scenario_076_formal_template,formal_template,1.0667,15,"{""omission"": 8}"
scenario_076_telegraphic_icu,telegraphic_icu,1.8667,15,"{""hallucination"": 2, ""omission"": 11}"
scenario_077_clinical_charting,clinical_charting,1.5625,16,"{""hallucination"": 2, ""omission"": 8, ""numeric_error"": 1}"
scenario_077_formal_template,formal_template,1.0625,16,"{""omission"": 7, ""numeric_error"": 1}"
scenario_077_telegraphic_icu,telegraphic_icu,0.9375,16,"{""device_error"": 1, ""numeric_error"": 3, ""omission"": 2}"
scenario_078_clinical_charting,clinical_charting,1.125,16,"{""omission"": 9}"
scenario_078_formal_template,formal_template,1.25,16,"{""omission"": 10}"
scenario_078_telegraphic_icu,telegraphic_icu,1.3125,16,"{""omission"": 3, ""numeric_error"": 3, ""hallucination"": 2}"
scenario_079_clinical_charting,clinical_charting,1.3846,13,"{""omission"": 6, ""numeric_error"": 1, ""hallucination"": 1}"
scenario_079_formal_template,formal_template,1.6154,13,"{""omission"": 9, ""hallucination"": 1}"
scenario_079_telegraphic_icu,telegraphic_icu,1.4615,13,"{""omission"": 7, ""unit_error"": 1, ""hallucination"": 1}"
scenario_080_clinical_charting,clinical_charting,0.9333,15,"{""hallucination"": 1, ""numeric_error"": 1, ""omission"": 4}"
scenario_080_formal_template,formal_template,1.0667,15,"{""omission"": 8}"
scenario_080_telegraphic_icu,telegraphic_icu,0.9333,15,"{""numeric_error"": 4, ""omission"": 1}"
scenario_081_clinical_charting,clinical_charting,1.1333,15,"{""omission"": 7, ""hallucination"": 1}"
scenario_081_formal_template,formal_template,1.4,15,"{""omission"": 9, ""numeric_error"": 1}"
scenario_081_telegraphic_icu,telegraphic_icu,1.1333,15,"{""omission"": 7, ""hallucination"": 1}"
scenario_082_clinical_charting,clinical_charting,0.7692,13,"{""omission"": 5}"
scenario_082_formal_template,formal_template,1.6923,13,"{""omission"": 8, ""hallucination"": 2}"
scenario_082_telegraphic_icu,telegraphic_icu,1.0,13,"{""omission"": 5, ""numeric_error"": 1}"
scenario_083_clinical_charting,clinical_charting,1.0,13,"{""omission"": 5, ""numeric_error"": 1}"
scenario_083_formal_template,formal_template,1.6154,13,"{""omission"": 9, ""numeric_error"": 1}"
scenario_083_telegraphic_icu,telegraphic_icu,1.0769,13,"{""omission"": 4, ""numeric_error"": 2}"
scenario_084_clinical_charting,clinical_charting,1.3846,13,"{""omission"": 6, ""hallucination"": 2}"
scenario_084_formal_template,formal_template,1.8462,13,"{""omission"": 9, ""hallucination"": 2}"
scenario_084_telegraphic_icu,telegraphic_icu,0.9231,13,"{""numeric_error"": 1, ""omission"": 3, ""hallucination"": 1}"
scenario_085_clinical_charting,clinical_charting,0.9333,15,"{""omission"": 7}"
scenario_085_formal_template,formal_template,1.2667,15,"{""omission"": 8, ""numeric_error"": 1}"
scenario_085_telegraphic_icu,telegraphic_icu,1.2,15,"{""omission"": 3, ""numeric_error"": 3, ""hallucination"": 1}"
scenario_086_clinical_charting,clinical_charting,1.5385,13,"{""omission"": 4, ""hallucination"": 1, ""numeric_error"": 3}"
scenario_086_formal_template,formal_template,1.6154,13,"{""omission"": 9, ""hallucination"": 1}"
scenario_086_telegraphic_icu,telegraphic_icu,1.1538,13,"{""omission"": 6, ""numeric_error"": 1}"
scenario_087_clinical_charting,clinical_charting,1.875,16,"{""omission"": 12, ""hallucination"": 2}"
scenario_087_formal_template,formal_template,1.25,16,"{""omission"": 10}"
scenario_087_telegraphic_icu,telegraphic_icu,1.0625,16,"{""omission"": 7, ""numeric_error"": 1}"
scenario_088_clinical_charting,clinical_charting,1.7692,13,"{""omission"": 4, ""hallucination"": 3, ""numeric_error"": 2}"
scenario_088_formal_template,formal_template,1.3077,13,"{""omission"": 7, ""numeric_error"": 1}"
scenario_088_telegraphic_icu,telegraphic_icu,2.1538,13,"{""omission"": 2, ""hallucination"": 4, ""numeric_error"": 4}"
